Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Bradford,04/14/2021,40,38,5311,60323,66.3,63,8804.3,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Cambria,01/11/2021,78,90,9782,130192,59.9,69.1,7513.5,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Lackawanna,08/26/2020,7,5.1,2026,209674,3.3,2.5,966.3,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Wayne,01/04/2021,58,44.4,2069,51361,112.9,86.5,4028.3,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Washington,01/31/2021,69,77.1,12666,206865,33.4,37.3,6122.8,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Pennsylvania,06/19/2020,489,406,81606,12801989,3.8,3.2,637.4,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Wayne,03/30/2021,14,11.9,3380,51361,27.3,23.1,6580.9,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Pennsylvania,08/20/2020,731,679.9,128724,12801989,5.7,5.3,1005.5,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Potter,09/23/2020,1,0.3,28,16526,6.1,1.7,169.4,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Franklin,05/08/2020,25,20.9,471,155027,16.1,13.5,303.8,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Westmoreland,07/17/2020,15,22.4,1149,348899,4.3,6.4,329.3,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Westmoreland,04/25/2021,42,100.7,32269,348899,12,28.9,9248.8,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Indiana,11/12/2020,52,41.6,1698,84073,61.9,49.4,2019.7,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Wayne,07/08/2020,0,0.3,141,51361,0,0.6,274.5,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Lebanon,06/12/2020,21,18.3,1171,141793,14.8,12.9,825.9,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Greene,10/05/2020,1,1.3,206,36233,2.8,3.5,568.5,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Luzerne,09/17/2020,11,11,4038,317417,3.5,3.5,1272.1,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Lancaster,08/16/2020,15,36.3,6244,545724,2.7,6.6,1144.2,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Clinton,02/25/2021,17,11.9,2795,38632,44,30.7,7234.9,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Chester,06/15/2020,28,30.4,3369,524989,5.3,5.8,641.7,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Lycoming,04/17/2021,27,37.1,10952,113299,23.8,32.8,9666.5,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Westmoreland,09/14/2020,11,12.7,2014,348899,3.2,3.6,577.2,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Huntingdon,07/18/2020,0,1.6,272,45144,0,3.5,602.5,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Lackawanna,06/10/2020,3,3.7,1597,209674,1.4,1.8,761.7,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Monroe,03/24/2021,81,62.4,11002,170271,47.6,36.7,6461.5,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
